Volatility 3 Framework 2.8.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

4	0	System		0xde855c463200	196	-	N/A	False	2024-09-18 10:59:41.000000 UTC	N/A	Disabled
1104	676	PSEXESVC.exe	0xde855c482080	0	-	0	False	2024-09-18 12:01:30.000000 UTC	2024-09-18 12:01:36.000000 UTC	Disabled
88	4	Registry	0xde855c50a080	4	-	N/A	False	2024-09-18 10:59:36.000000 UTC	N/A	Disabled
2288	676	spoolsv.exe	0xde855c5a4080	10	-	0	False	2024-09-18 10:59:44.000000 UTC	N/A	Disabled
4068	676	msdtc.exe	0xde855c77c240	9	-	0	False	2024-09-18 10:59:46.000000 UTC	N/A	Disabled
320	4	smss.exe	0xde855fd920c0	2	-	N/A	False	2024-09-18 10:59:41.000000 UTC	N/A	Disabled
428	420	csrss.exe	0xde855feeb140	11	-	0	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
924	676	svchost.exe	0xde8560ed3080	10	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
532	420	wininit.exe	0xde8560eda080	1	-	0	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
676	532	services.exe	0xde8560edd140	8	-	0	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
540	524	csrss.exe	0xde8560edf140	11	-	1	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
4104	804	unsecapp.exe	0xde8560f10080	2	-	0	False	2024-09-18 11:07:38.000000 UTC	N/A	Disabled
4720	804	backgroundTask	0xde8560f11080	7	-	1	False	2024-09-18 12:01:42.000000 UTC	N/A	Disabled
600	524	winlogon.exe	0xde8560f19080	4	-	1	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
684	532	lsass.exe	0xde8560f43140	8	-	0	False	2024-09-18 10:59:42.000000 UTC	N/A	Disabled
804	676	svchost.exe	0xde8560f80080	17	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
832	532	fontdrvhost.ex	0xde8561620140	5	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
836	600	fontdrvhost.ex	0xde8561622140	5	-	1	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
1016	600	dwm.exe		0xde85616a2080	13	-	1	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
424	676	svchost.exe	0xde85616d6200	42	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
544	676	svchost.exe	0xde85616d9280	25	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
828	676	svchost.exe	0xde85617042c0	14	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
964	676	svchost.exe	0xde8561706280	22	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
1052	676	svchost.exe	0xde8561715240	24	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
1064	676	svchost.exe	0xde8561717280	4	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
1128	676	svchost.exe	0xde8561745280	19	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
1336	676	svchost.exe	0xde8561781080	7	-	0	False	2024-09-18 10:59:43.000000 UTC	N/A	Disabled
